n,C(n2),prime_power,mu_lower,mu_upper,density,witness
2,1,1,1,1,1.0000,"AGL(1,2) [exact]"
3,3,1,3,3,1.0000,"AGL(1,3) [exact]"
4,6,1,6,6,1.0000,"AGL(1,4) [exact]"
5,10,1,10,10,1.0000,"AGL(1,5) [exact]"
6,15,0,6,7,0.4000,(3:2)wr2
7,21,1,21,21,1.0000,"AGL(1,7) [exact]"
8,28,1,28,28,1.0000,"AGL(1,8) [exact]"
9,36,1,36,36,1.0000,"AGL(1,9) [exact]"
10,45,0,20,22,0.4444,(5:4)wr2
11,55,1,55,55,1.0000,"AGL(1,11) [exact]"
12,66,0,18,33,0.2727,(4:3)wr3
13,78,1,78,78,1.0000,"AGL(1,13) [exact]"
14,91,0,42,45,0.4615,2x(7:3)diag+rot
15,105,0,30,52,0.2857,3x(5:4)diag+rot
16,120,1,120,120,1.0000,"AGL(1,16) [exact]"
17,136,1,136,136,1.0000,"AGL(1,17) [exact]"
18,153,0,72,76,0.4706,(9:8)wr2
19,171,1,171,171,1.0000,"AGL(1,19) [exact]"
20,190,0,36,95,0.1895,"AGL(1,9)xF11:C5"
21,210,0,63,105,0.3000,(7:3)wr3
22,231,0,110,115,0.4762,2x(11:5)diag+rot
23,253,1,253,253,1.0000,"AGL(1,23) [exact]"
24,276,0,84,138,0.3043,3x(8:7)diag+rot
25,300,1,300,300,1.0000,"AGL(1,25) [exact]"
26,325,0,78,162,0.2400,2x(13:12)diag
27,351,1,351,351,1.0000,"AGL(1,27) [exact]"
28,378,0,55,189,0.1455,"AGL(1,11)xF17:C8"
29,406,1,406,406,1.0000,"AGL(1,29) [exact]"
30,435,0,78,217,0.1793,"AGL(1,13)xF17:C16"
31,465,1,465,465,1.0000,"AGL(1,31) [exact]"
32,496,1,496,496,1.0000,"AGL(1,32) [exact]"
33,528,0,165,264,0.3125,3x(11:10)diag+rot
34,561,0,272,280,0.4848,(17:16)wr2
35,595,0,120,297,0.2017,"AGL(1,16)xF19:C9"
36,630,0,136,315,0.2159,"AGL(1,17)xF19:C9"
37,666,1,666,666,1.0000,"AGL(1,37) [exact]"
38,703,0,342,351,0.4865,2x(19:9)diag+rot
39,741,0,120,370,0.1619,"AGL(1,16)xF23:C11"
40,780,0,140,390,0.1795,5x(8:7)diag+rot
41,820,1,820,820,1.0000,"AGL(1,41) [exact]"
42,861,0,171,430,0.1986,"AGL(1,19)xF23:C11"
43,903,1,903,903,1.0000,"AGL(1,43) [exact]"
44,946,0,171,473,0.1808,"AGL(1,25)xF19:C9"
45,990,0,180,495,0.1818,5x(9:8)diag+rot
46,1035,0,506,517,0.4889,2x(23:11)diag+rot
47,1081,1,1081,1081,1.0000,"AGL(1,47) [exact]"
48,1128,0,253,564,0.2243,"AGL(1,25)xF23:C11"
49,1176,1,1176,1176,1.0000,"AGL(1,49) [exact]"
50,1225,0,300,612,0.2449,2x(25:24)diag
51,1275,0,408,637,0.3200,3x(17:16)diag+rot
52,1326,0,253,663,0.1908,"AGL(1,29)xF23:C11"
53,1378,1,1378,1378,1.0000,"AGL(1,53) [exact]"
54,1431,0,702,715,0.4906,2x(27:13)diag+rot
55,1485,0,275,742,0.1852,(11:5)wr5
56,1540,0,203,770,0.1318,"AGL(1,27)xF29:C7"
57,1596,0,513,798,0.3214,(19:9)wr3
58,1653,0,406,826,0.2456,2x(29:28)diag
59,1711,1,1711,1711,1.0000,"AGL(1,59) [exact]"
60,1770,0,253,885,0.1429,"AGL(1,23)xF37:C9"
61,1830,1,1830,1830,1.0000,"AGL(1,61) [exact]"
62,1891,0,930,945,0.4918,2x(31:15)diag+rot
63,1953,0,252,976,0.1290,7x(9:8)diag+rot
64,2016,1,2016,2016,1.0000,"AGL(1,64) [exact]"
65,2080,0,390,1040,0.1875,5x(13:12)diag+rot
66,2145,0,333,1072,0.1552,"AGL(1,29)xF37:C9"
67,2211,1,2211,2211,1.0000,"AGL(1,67) [exact]"
68,2278,0,333,1139,0.1462,"AGL(1,31)xF37:C9"
69,2346,0,759,1173,0.3235,3x(23:22)diag+rot
70,2415,0,301,1207,0.1246,"AGL(1,27)xF43:C7"
71,2485,1,2485,2485,1.0000,"AGL(1,71) [exact]"
72,2556,0,301,1278,0.1178,"AGL(1,29)xF43:C7"
73,2628,1,2628,2628,1.0000,"AGL(1,73) [exact]"
