n,C(n2),mu_bound,density,orbits_K,certified,fallback,witness
6,15,6,0.400000,2,1,0,"p=3 q=2: 2x3"
10,45,20,0.444444,2,1,0,"p=5 q=2: 2x5"
12,66,18,0.272727,2,1,0,"p=2 q=3: 3x4"
14,91,42,0.461538,2,1,0,"p=7 q=2: 2x7"
15,105,30,0.285714,2,1,0,"p=5 q=3: 3x5"
18,153,72,0.470588,2,1,0,"p=3 q=2: 2x9"
20,190,40,0.210526,3,1,0,"p=5 q=2: 4x5"
21,210,63,0.300000,2,1,0,"p=7 q=3: 3x7"
22,231,110,0.476190,2,1,0,"p=11 q=2: 2x11"
24,276,84,0.304348,2,1,0,"p=2 q=3: 3x8"
26,325,156,0.480000,2,1,0,"p=13 q=2: 2x13"
28,378,84,0.222222,3,1,0,"p=7 q=2: 4x7"
30,435,78,0.179310,3,1,0,"p=13 q=2: 1x17* + 1x13   (* foreign)"
33,528,165,0.312500,2,1,0,"p=11 q=3: 3x11"
34,561,272,0.484848,2,1,0,"p=17 q=2: 2x17"
35,595,120,0.201681,3,1,0,"p=2 q=3: 1x19* + 1x16   (* foreign)"
36,630,144,0.228571,3,1,0,"p=3 q=2: 4x9"
38,703,342,0.486486,2,1,0,"p=19 q=2: 2x19"
39,741,234,0.315789,2,1,0,"p=13 q=3: 3x13"
40,780,140,0.179487,3,1,0,"p=2 q=5: 5x8"
42,861,171,0.198606,3,1,0,"p=19 q=11: 1x23* + 1x19   (* foreign)"
44,946,220,0.232558,3,1,0,"p=11 q=2: 4x11"
45,990,180,0.181818,3,1,0,"p=3 q=5: 5x9"
46,1035,506,0.488889,2,1,0,"p=23 q=2: 2x23"
48,1128,360,0.319149,2,1,0,"p=2 q=3: 3x16"
50,1225,600,0.489796,2,1,0,"p=5 q=2: 2x25"
51,1275,408,0.320000,2,1,0,"p=17 q=3: 3x17"
52,1326,312,0.235294,3,1,0,"p=13 q=2: 4x13"
54,1431,702,0.490566,2,1,0,"p=3 q=2: 2x27"
55,1485,275,0.185185,3,1,0,"p=11 q=5: 5x11"
56,1540,203,0.131818,3,1,0,"p=3 q=7: 1x29* + 1x27   (* foreign)"
57,1596,513,0.321429,2,1,0,"p=19 q=3: 3x19"
58,1653,812,0.491228,2,1,0,"p=29 q=2: 2x29"
60,1770,253,0.142938,3,1,0,"p=23 q=3: 1x37* + 1x23   (* foreign)"
62,1891,930,0.491803,2,1,0,"p=31 q=2: 2x31"
63,1953,252,0.129032,3,1,0,"p=3 q=7: 7x9"
65,2080,390,0.187500,3,1,0,"p=13 q=5: 5x13"
66,2145,333,0.155245,3,1,0,"p=29 q=3: 1x37* + 1x29   (* foreign)"
68,2278,544,0.238806,3,1,0,"p=17 q=2: 4x17"
69,2346,759,0.323529,2,1,0,"p=23 q=3: 3x23"
70,2415,301,0.124638,3,1,0,"p=3 q=7: 1x43* + 1x27   (* foreign)"
72,2556,301,0.117762,3,1,0,"p=29 q=7: 1x43* + 1x29   (* foreign)"
74,2701,1332,0.493151,2,1,0,"p=37 q=2: 2x37"
75,2775,900,0.324324,2,1,0,"p=5 q=3: 3x25"
76,2850,684,0.240000,3,1,0,"p=19 q=2: 4x19"
